PROGRAM (1, 1) "PROGRAM"
IDENTIFIER (1, 9) "Test"
SEMICOLON (1, 13) ";"
BEGIN (2, 1) "BEGIN"
INT (3, 3) "INT"
IDENTIFIER (3, 7) "x"
ASSIGN (3, 9) ":="
INTEGER (3, 12) "5"
SEMICOLON (3, 13) ";"
INT (4, 3) "INT"
IDENTIFIER (4, 7) "y"
ASSIGN (4, 9) ":="
INTEGER (4, 12) "10"
SEMICOLON (4, 14) ";"
IF (6, 3) "IF"
LEFT_PAREN (6, 6) "("
IDENTIFIER (6, 7) "x"
EQ (6, 9) "=="
IDENTIFIER (6, 12) "y"
RIGHT_PAREN (6, 13) ")"
BEGIN (6, 15) "BEGIN"
PRINT (7, 5) "PRINT"
STRING (7, 11) "'Equal'"
SEMICOLON (7, 18) ";"
END (8, 3) "END"
SEMICOLON (8, 6) ";"
WHILE (10, 3) "WHILE"
LEFT_PAREN (10, 9) "("
IDENTIFIER (10, 10) "x"
LESS (10, 12) "<"
IDENTIFIER (10, 14) "y"
RIGHT_PAREN (10, 15) ")"
BEGIN (10, 17) "BEGIN"
IDENTIFIER (11, 5) "x"
ASSIGN (11, 7) ":="
IDENTIFIER (11, 10) "x"
PLUS (11, 12) "+"
INTEGER (11, 14) "1"
SEMICOLON (11, 15) ";"
END (12, 3) "END"
SEMICOLON (12, 6) ";"
IDENTIFIER (14, 3) "y"
ASSIGN (14, 5) ":="
IDENTIFIER (14, 8) "x"
MULTIPLICATION (14, 10) "*"
INTEGER (14, 12) "2"
SEMICOLON (14, 13) ";"
END (15, 1) "END"
DOT (15, 4) "."
