<Z>;<program>;End;PROGRAM;IDENTIFIER;SEMICOLON;<block>;DOT;<var_decl>;VAR;<decl_list>;<decl>;BEGIN;<stmt_list>;END;<stmt>;<assign>;<if_stmt>;<while_stmt>;<io>;<out>;<ident_list>;COLON;<type>;TYPE;EQ;INT;REAL;CHAR;ARRAY;LEFT_BRACKET;INTEGER;RIGHT_BRACKET;OF;COMMA;<full_id>;ASSIGN;<expr>;IF;<cond>;THEN;ELSE;WHILE;PRINT;STRING;READ;PLUS;<term>;MINUS;MULTIPLICATION;<factor>;DIVIDE;DIV;MOD;NOT;LEFT_PAREN;RIGHT_PAREN;FLOAT;TRUE;FALSE;<rel_op>;NOT_EQ;LESS;GREATER;LESS_EQ;GREATER_EQ
OK;S1;;S2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;R1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;S3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;S4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;R4;;;;S5;;S6;S7;;;S8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;S9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;S10;;;;;;S8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;S11;;;;;;S12;S13;;;;;;;;;;S14;;;S15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;S16;S17;S18;;;;;;S8;S19;S20;S21;S22;S23;S24;S25;S26;;;;;;;;;;;;;;;S27;;;S28;;;;S29;S30;;S31;;;;;;;;;;;;;;;;;;;;
;;R2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;S32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;R24;;;;;;;;;;;;S33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;R5;;;R5;;;;;;R5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;S34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;S35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;S36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;R57;R57;R57;;;;;;R57;;;R57;R57;R57;R57;R57;R57;;;;;R57;;;;;S37;R57;R57;;;R57;R57;R57;R57;;R57;;R57;R57;;R57;R57;R57;R57;R57;R57;R57;R57;R57;R57;R57;R57;R57;R57;R57;R57;R57;R57;R57;R57;R57
;;;;R17;R17;R17;;;;;;R17;R17;R17;R17;R17;R17;R17;R17;R17;;;;;;;;;;;;;;;R17;;;R17;;;R17;R17;R17;;R17;;;;;;;;;;;;;;;;;;;;
